date,store_id,item_id,category,sales_units,on_promotion,base_price,unit_cost,shelf_life_days,holding_cost_per_day,spoilage_cost_per_unit,stockout_cost_per_unit
2024-01-01,STORE_01,ITEM_BAKERY_01,Bakery,14,0,50.27,33.26,3,0.91,40.08,65.52
2024-01-01,STORE_01,ITEM_BAKERY_02,Bakery,20,0,25.81,15.17,3,0.32,19.05,59.95
2024-01-01,STORE_01,ITEM_DAIRY_01,Dairy,48,0,63.19,35.81,7,1.68,42.3,75.08
2024-01-01,STORE_01,ITEM_DAIRY_02,Dairy,32,0,38.16,20.59,7,0.51,28.7,66.99
2024-01-01,STORE_01,ITEM_MEAT_01,Meat,15,0,204.22,123.73,5,4.66,130.55,116.44
2024-01-01,STORE_01,ITEM_MEAT_02,Meat,12,0,130.79,64.24,5,1.37,69.95,109.7
2024-01-01,STORE_01,ITEM_PRODUCE_01,Produce,21,0,35.55,16.13,4,0.62,22.23,66.98
2024-01-01,STORE_01,ITEM_PRODUCE_02,Produce,15,0,22.92,13.8,4,0.51,19.98,58.59
2024-01-01,STORE_02,ITEM_BAKERY_01,Bakery,20,0,50.12,33.73,3,0.91,39.86,67.67
2024-01-01,STORE_02,ITEM_BAKERY_02,Bakery,16,0,25.37,15.28,3,0.32,19.91,58.16
2024-01-01,STORE_02,ITEM_DAIRY_01,Dairy,40,0,62.58,35.99,7,1.68,42.24,76.28
2024-01-01,STORE_02,ITEM_DAIRY_02,Dairy,31,0,40.16,20.68,7,0.52,28.61,69.04
2024-01-01,STORE_02,ITEM_MEAT_01,Meat,36,0,196.95,125.27,5,4.8,127.64,115.88
2024-01-01,STORE_02,ITEM_MEAT_02,Meat,12,0,124.73,62.95,5,1.36,67.2,110.78
2024-01-01,STORE_02,ITEM_PRODUCE_01,Produce,37,0,32.21,16.11,4,0.6,22.79,66.48
2024-01-01,STORE_02,ITEM_PRODUCE_02,Produce,21,0,22.79,13.95,4,0.52,19.65,58.45
2024-01-01,STORE_03,ITEM_BAKERY_01,Bakery,12,0,48.99,33.69,3,0.89,39.93,63.41
2024-01-01,STORE_03,ITEM_BAKERY_02,Bakery,14,0,26.2,15.3,3,0.32,19.41,59.49
2024-01-01,STORE_03,ITEM_DAIRY_01,Dairy,37,0,64.64,36.23,7,1.64,41.93,74.81
2024-01-01,STORE_03,ITEM_DAIRY_02,Dairy,32,0,40.26,20.21,7,0.52,28.54,70.61
2024-01-01,STORE_03,ITEM_MEAT_01,Meat,22,0,200.53,124.96,5,4.81,127.6,116.59
2024-01-01,STORE_03,ITEM_MEAT_02,Meat,22,0,132.78,64.55,5,1.36,66.92,108.61
2024-01-01,STORE_03,ITEM_PRODUCE_01,Produce,25,0,32.42,16.18,4,0.58,22.16,66.25
2024-01-01,STORE_03,ITEM_PRODUCE_02,Produce,11,0,23.87,14.04,4,0.52,19.45,59.12
2024-01-01,STORE_04,ITEM_BAKERY_01,Bakery,22,0,48.37,33.75,3,0.91,38.16,64.71
2024-01-01,STORE_04,ITEM_BAKERY_02,Bakery,13,0,25.06,15.27,3,0.31,19.89,61.74
2024-01-01,STORE_04,ITEM_DAIRY_01,Dairy,62,0,59.44,36.2,7,1.67,41.17,71.52
2024-01-01,STORE_04,ITEM_DAIRY_02,Dairy,35,0,38.69,20.59,7,0.52,27.21,69.91
2024-01-01,STORE_04,ITEM_MEAT_01,Meat,14,0,193.15,123.27,5,4.86,124.89,117.34
2024-01-01,STORE_04,ITEM_MEAT_02,Meat,18,0,125.58,63.93,5,1.4,68.13,109.32
2024-01-01,STORE_04,ITEM_PRODUCE_01,Produce,18,0,33.76,16.09,4,0.61,22.78,65.31
2024-01-01,STORE_04,ITEM_PRODUCE_02,Produce,14,0,22.48,14.11,4,0.51,19.78,56.95
2024-01-01,STORE_05,ITEM_BAKERY_01,Bakery,12,0,50.79,33.66,3,0.9,38.7,64.86
2024-01-01,STORE_05,ITEM_BAKERY_02,Bakery,8,0,24.35,15.43,3,0.32,20.28,61.28
2024-01-01,STORE_05,ITEM_DAIRY_01,Dairy,27,0,61.7,36.22,7,1.61,41.72,73.49
2024-01-01,STORE_05,ITEM_DAIRY_02,Dairy,30,0,39.94,20.67,7,0.52,28.94,69.01
2024-01-01,STORE_05,ITEM_MEAT_01,Meat,16,0,189.05,124.35,5,4.84,123.33,113.84
2024-01-01,STORE_05,ITEM_MEAT_02,Meat,19,0,123.51,63.39,5,1.36,66.26,112.87
2024-01-01,STORE_05,ITEM_PRODUCE_01,Produce,23,0,32.87,16.57,4,0.62,22.96,65.87
2024-01-01,STORE_05,ITEM_PRODUCE_02,Produce,14,0,22.29,13.88,4,0.5,20.23,58.41
2024-01-01,STORE_06,ITEM_BAKERY_01,Bakery,12,0,48.54,33.23,3,0.95,40.12,65.39
2024-01-01,STORE_06,ITEM_BAKERY_02,Bakery,16,0,25.01,15.37,3,0.32,20.1,60.35
2024-01-01,STORE_06,ITEM_DAIRY_01,Dairy,32,0,60.7,35.89,7,1.67,41.98,75.8
2024-01-01,STORE_06,ITEM_DAIRY_02,Dairy,23,0,40.41,20.77,7,0.52,28.3,69.94
2024-01-01,STORE_06,ITEM_MEAT_01,Meat,25,0,193.67,123.33,5,4.76,126.35,114.55
2024-01-01,STORE_06,ITEM_MEAT_02,Meat,17,0,124.82,64.7,5,1.38,69.1,111.86
2024-01-01,STORE_06,ITEM_PRODUCE_01,Produce,21,0,32.34,16.28,4,0.6,22.72,66.44
2024-01-01,STORE_06,ITEM_PRODUCE_02,Produce,6,0,23.02,13.36,4,0.52,19.8,59.27
2024-01-01,STORE_07,ITEM_BAKERY_01,Bakery,17,0,48.79,33.34,3,0.91,39.03,65.36
2024-01-01,STORE_07,ITEM_BAKERY_02,Bakery,17,0,25.44,15.41,3,0.31,20.03,59.37
2024-01-01,STORE_07,ITEM_DAIRY_01,Dairy,38,0,62.72,36.11,7,1.58,42.5,77.05
2024-01-01,STORE_07,ITEM_DAIRY_02,Dairy,28,0,36.24,20.44,7,0.52,28.17,66.41
2024-01-01,STORE_07,ITEM_MEAT_01,Meat,23,0,191.85,121.99,5,4.72,121.3,115.7
2024-01-01,STORE_07,ITEM_MEAT_02,Meat,14,0,124.43,64.96,5,1.38,67.24,107.84
2024-01-01,STORE_07,ITEM_PRODUCE_01,Produce,38,0,32.59,16.3,4,0.59,22.59,67.72
2024-01-01,STORE_07,ITEM_PRODUCE_02,Produce,20,0,22.75,14.1,4,0.52,19.48,58.2
2024-01-01,STORE_08,ITEM_BAKERY_01,Bakery,19,0,50.03,33.37,3,0.91,40.03,65.78
2024-01-01,STORE_08,ITEM_BAKERY_02,Bakery,21,0,25.54,15.39,3,0.32,19.89,59.39
2024-01-01,STORE_08,ITEM_DAIRY_01,Dairy,26,0,61.04,36.32,7,1.7,42.89,76.65
2024-01-01,STORE_08,ITEM_DAIRY_02,Dairy,35,0,39.36,20.54,7,0.51,28.52,71.15
2024-01-01,STORE_08,ITEM_MEAT_01,Meat,18,0,196.13,127.24,5,4.84,127.72,113.71
2024-01-01,STORE_08,ITEM_MEAT_02,Meat,8,0,123.15,64.0,5,1.39,66.48,110.79
2024-01-01,STORE_08,ITEM_PRODUCE_01,Produce,23,0,32.24,16.15,4,0.59,23.2,66.56
2024-01-01,STORE_08,ITEM_PRODUCE_02,Produce,19,0,22.85,14.17,4,0.5,20.02,58.11
2024-01-02,STORE_01,ITEM_BAKERY_01,Bakery,17,0,49.18,33.94,3,0.94,38.98,64.89
2024-01-02,STORE_01,ITEM_BAKERY_02,Bakery,13,0,25.4,15.17,3,0.32,19.22,58.71
2024-01-02,STORE_01,ITEM_DAIRY_01,Dairy,61,0,62.74,36.35,7,1.66,42.69,76.01
2024-01-02,STORE_01,ITEM_DAIRY_02,Dairy,25,0,38.44,20.59,7,0.5,28.52,68.46
2024-01-02,STORE_01,ITEM_MEAT_01,Meat,18,0,203.31,122.4,5,4.92,131.22,113.32
2024-01-02,STORE_01,ITEM_MEAT_02,Meat,12,0,130.0,64.78,5,1.41,67.27,111.72
2024-01-02,STORE_01,ITEM_PRODUCE_01,Produce,20,0,35.1,16.15,4,0.6,22.91,65.43
2024-01-02,STORE_01,ITEM_PRODUCE_02,Produce,24,0,22.54,13.87,4,0.49,19.24,57.99
2024-01-02,STORE_02,ITEM_BAKERY_01,Bakery,18,0,50.67,33.53,3,0.93,40.64,66.12
2024-01-02,STORE_02,ITEM_BAKERY_02,Bakery,19,0,25.45,15.1,3,0.33,19.91,59.9
2024-01-02,STORE_02,ITEM_DAIRY_01,Dairy,51,0,61.86,35.99,7,1.65,41.43,75.73
2024-01-02,STORE_02,ITEM_DAIRY_02,Dairy,50,0,40.87,20.45,7,0.51,28.96,66.77
2024-01-02,STORE_02,ITEM_MEAT_01,Meat,19,0,196.92,125.4,5,4.72,124.97,115.0
2024-01-02,STORE_02,ITEM_MEAT_02,Meat,14,0,125.24,64.51,5,1.37,69.33,111.68
2024-01-02,STORE_02,ITEM_PRODUCE_01,Produce,30,0,32.82,16.41,4,0.59,22.23,65.96
2024-01-02,STORE_02,ITEM_PRODUCE_02,Produce,11,0,22.41,14.08,4,0.51,19.1,58.93
2024-01-02,STORE_03,ITEM_BAKERY_01,Bakery,10,0,49.83,34.26,3,0.94,40.56,66.01
2024-01-02,STORE_03,ITEM_BAKERY_02,Bakery,22,0,26.24,15.38,3,0.33,19.48,58.8
2024-01-02,STORE_03,ITEM_DAIRY_01,Dairy,47,0,64.96,35.97,7,1.68,41.51,75.33
2024-01-02,STORE_03,ITEM_DAIRY_02,Dairy,37,0,40.43,20.53,7,0.5,28.41,70.04
2024-01-02,STORE_03,ITEM_MEAT_01,Meat,23,0,197.04,126.66,5,4.64,127.37,115.2
2024-01-02,STORE_03,ITEM_MEAT_02,Meat,10,0,135.03,65.02,5,1.35,68.55,109.98
2024-01-02,STORE_03,ITEM_PRODUCE_01,Produce,27,0,32.97,16.24,4,0.58,22.8,67.26
2024-01-02,STORE_03,ITEM_PRODUCE_02,Produce,19,0,23.33,14.14,4,0.53,19.57,59.09
2024-01-02,STORE_04,ITEM_BAKERY_01,Bakery,14,0,49.77,33.4,3,0.94,39.57,67.8
2024-01-02,STORE_04,ITEM_BAKERY_02,Bakery,15,0,25.35,15.27,3,0.32,19.35,59.73
2024-01-02,STORE_04,ITEM_DAIRY_01,Dairy,30,0,59.6,36.27,7,1.66,40.6,73.88
2024-01-02,STORE_04,ITEM_DAIRY_02,Dairy,33,0,38.87,20.58,7,0.5,29.34,71.16
2024-01-02,STORE_04,ITEM_MEAT_01,Meat,20,0,191.82,126.66,5,4.74,126.86,114.49
2024-01-02,STORE_04,ITEM_MEAT_02,Meat,12,0,125.13,64.12,5,1.36,66.65,112.03
2024-01-02,STORE_04,ITEM_PRODUCE_01,Produce,25,0,33.82,16.58,4,0.6,23.2,65.74
2024-01-02,STORE_04,ITEM_PRODUCE_02,Produce,8,0,22.71,13.97,4,0.51,19.85,59.11
2024-01-02,STORE_05,ITEM_BAKERY_01,Bakery,14,0,50.07,33.81,3,0.96,38.01,65.02
2024-01-02,STORE_05,ITEM_BAKERY_02,Bakery,14,0,24.21,15.42,3,0.3,19.87,60.52
2024-01-02,STORE_05,ITEM_DAIRY_01,Dairy,42,0,60.65,36.34,7,1.66,43.08,75.74
2024-01-02,STORE_05,ITEM_DAIRY_02,Dairy,30,0,40.23,20.78,7,0.51,28.8,69.06
2024-01-02,STORE_05,ITEM_MEAT_01,Meat,28,0,191.3,124.49,5,4.81,127.04,116.04
2024-01-02,STORE_05,ITEM_MEAT_02,Meat,19,0,123.68,64.22,5,1.33,65.33,110.09
2024-01-02,STORE_05,ITEM_PRODUCE_01,Produce,18,0,32.83,16.49,4,0.61,22.65,66.09
2024-01-02,STORE_05,ITEM_PRODUCE_02,Produce,25,0,22.27,14.09,4,0.51,18.65,54.91
2024-01-02,STORE_06,ITEM_BAKERY_01,Bakery,18,0,48.51,33.65,3,0.91,39.78,69.84
2024-01-02,STORE_06,ITEM_BAKERY_02,Bakery,14,0,25.06,15.24,3,0.32,19.98,59.11
2024-01-02,STORE_06,ITEM_DAIRY_01,Dairy,29,0,60.16,36.64,7,1.63,43.87,74.07
2024-01-02,STORE_06,ITEM_DAIRY_02,Dairy,35,0,40.81,20.77,7,0.51,28.26,69.51
2024-01-02,STORE_06,ITEM_MEAT_01,Meat,13,0,191.09,122.67,5,4.65,125.74,115.62
2024-01-02,STORE_06,ITEM_MEAT_02,Meat,17,0,121.39,64.52,5,1.4,67.82,111.21
2024-01-02,STORE_06,ITEM_PRODUCE_01,Produce,26,0,31.96,16.26,4,0.59,22.43,66.42
2024-01-02,STORE_06,ITEM_PRODUCE_02,Produce,20,0,23.01,13.66,4,0.5,20.1,57.68
2024-01-02,STORE_07,ITEM_BAKERY_01,Bakery,16,0,50.2,33.49,3,0.91,38.64,67.8
2024-01-02,STORE_07,ITEM_BAKERY_02,Bakery,21,0,25.59,15.38,3,0.32,20.35,60.82
2024-01-02,STORE_07,ITEM_DAIRY_01,Dairy,38,0,62.41,36.0,7,1.63,42.69,74.91
2024-01-02,STORE_07,ITEM_DAIRY_02,Dairy,22,0,36.01,20.79,7,0.51,28.73,68.75
2024-01-02,STORE_07,ITEM_MEAT_01,Meat,16,0,190.72,123.57,5,4.79,128.21,116.83
2024-01-02,STORE_07,ITEM_MEAT_02,Meat,15,0,128.01,62.82,5,1.34,66.7,110.23
2024-01-02,STORE_07,ITEM_PRODUCE_01,Produce,32,0,32.52,16.37,4,0.6,23.44,66.56
2024-01-02,STORE_07,ITEM_PRODUCE_02,Produce,15,0,22.74,13.99,4,0.51,19.96,58.99
2024-01-02,STORE_08,ITEM_BAKERY_01,Bakery,17,0,49.28,33.65,3,0.94,40.13,64.13
2024-01-02,STORE_08,ITEM_BAKERY_02,Bakery,17,0,25.72,15.38,3,0.31,19.92,60.99
2024-01-02,STORE_08,ITEM_DAIRY_01,Dairy,54,0,60.88,35.74,7,1.62,41.56,75.93
2024-01-02,STORE_08,ITEM_DAIRY_02,Dairy,32,0,38.77,20.12,7,0.51,28.56,69.79
2024-01-02,STORE_08,ITEM_MEAT_01,Meat,24,0,196.9,125.51,5,4.83,128.34,118.29
2024-01-02,STORE_08,ITEM_MEAT_02,Meat,8,0,121.29,64.18,5,1.4,67.92,112.5
2024-01-02,STORE_08,ITEM_PRODUCE_01,Produce,12,0,32.38,16.52,4,0.6,22.58,65.8
2024-01-02,STORE_08,ITEM_PRODUCE_02,Produce,16,0,22.88,13.98,4,0.5,18.99,59.52
2024-01-03,STORE_01,ITEM_BAKERY_01,Bakery,20,0,49.17,34.25,3,0.88,40.13,66.05
2024-01-03,STORE_01,ITEM_BAKERY_02,Bakery,14,0,25.3,15.16,3,0.33,19.99,58.4
2024-01-03,STORE_01,ITEM_DAIRY_01,Dairy,39,0,63.35,36.57,7,1.65,41.63,74.12
2024-01-03,STORE_01,ITEM_DAIRY_02,Dairy,15,0,38.17,20.62,7,0.53,28.55,68.17
2024-01-03,STORE_01,ITEM_MEAT_01,Meat,20,0,200.91,123.41,5,4.53,128.41,115.4
2024-01-03,STORE_01,ITEM_MEAT_02,Meat,11,0,133.25,64.51,5,1.44,65.48,111.26
2024-01-03,STORE_01,ITEM_PRODUCE_01,Produce,17,0,35.46,16.15,4,0.61,22.84,66.31
2024-01-03,STORE_01,ITEM_PRODUCE_02,Produce,20,0,22.85,13.74,4,0.52,19.78,58.04
2024-01-03,STORE_02,ITEM_BAKERY_01,Bakery,16,0,50.76,33.75,3,0.9,39.16,67.85
2024-01-03,STORE_02,ITEM_BAKERY_02,Bakery,18,0,24.65,15.26,3,0.31,20.26,62.09
2024-01-03,STORE_02,ITEM_DAIRY_01,Dairy,26,0,61.26,36.11,7,1.62,44.33,76.96
2024-01-03,STORE_02,ITEM_DAIRY_02,Dairy,31,0,40.71,20.73,7,0.53,28.41,68.89
2024-01-03,STORE_02,ITEM_MEAT_01,Meat,25,0,199.93,123.43,5,4.77,126.29,116.81
2024-01-03,STORE_02,ITEM_MEAT_02,Meat,13,0,124.76,64.6,5,1.37,68.28,108.47
2024-01-03,STORE_02,ITEM_PRODUCE_01,Produce,26,0,32.8,16.25,4,0.61,22.93,62.53
2024-01-03,STORE_02,ITEM_PRODUCE_02,Produce,12,0,22.86,14.24,4,0.52,18.78,57.67
2024-01-03,STORE_03,ITEM_BAKERY_01,Bakery,15,0,49.89,33.26,3,0.94,41.36,66.33
2024-01-03,STORE_03,ITEM_BAKERY_02,Bakery,15,0,25.96,15.56,3,0.33,19.51,59.82
2024-01-03,STORE_03,ITEM_DAIRY_01,Dairy,35,0,64.26,36.16,7,1.69,43.91,75.5
2024-01-03,STORE_03,ITEM_DAIRY_02,Dairy,34,0,40.27,20.78,7,0.51,28.78,67.89
2024-01-03,STORE_03,ITEM_MEAT_01,Meat,26,0,202.28,126.41,5,4.65,129.06,116.76
2024-01-03,STORE_03,ITEM_MEAT_02,Meat,8,0,130.22,63.65,5,1.41,65.88,110.63
2024-01-03,STORE_03,ITEM_PRODUCE_01,Produce,19,0,32.62,16.29,4,0.61,22.33,63.83
2024-01-03,STORE_03,ITEM_PRODUCE_02,Produce,12,0,23.8,14.18,4,0.51,18.97,58.18
2024-01-03,STORE_04,ITEM_BAKERY_01,Bakery,14,0,47.49,33.99,3,0.87,40.61,68.11
2024-01-03,STORE_04,ITEM_BAKERY_02,Bakery,9,0,25.23,15.43,3,0.31,20.13,58.54
2024-01-03,STORE_04,ITEM_DAIRY_01,Dairy,46,0,59.99,35.62,7,1.65,42.94,73.97
2024-01-03,STORE_04,ITEM_DAIRY_02,Dairy,40,0,38.66,20.32,7,0.51,28.14,69.39
2024-01-03,STORE_04,ITEM_MEAT_01,Meat,26,0,194.67,127.16,5,4.76,128.53,118.08
2024-01-03,STORE_04,ITEM_MEAT_02,Meat,24,0,122.54,64.29,5,1.39,67.07,104.57
2024-01-03,STORE_04,ITEM_PRODUCE_01,Produce,18,0,33.53,16.23,4,0.59,22.04,66.12
2024-01-03,STORE_04,ITEM_PRODUCE_02,Produce,11,0,22.75,13.78,4,0.51,19.05,60.81
2024-01-03,STORE_05,ITEM_BAKERY_01,Bakery,16,0,49.79,33.58,3,0.93,39.2,66.68
2024-01-03,STORE_05,ITEM_BAKERY_02,Bakery,15,0,23.91,15.37,3,0.31,18.92,60.81
2024-01-03,STORE_05,ITEM_DAIRY_01,Dairy,48,0,61.14,35.88,7,1.67,43.12,74.63
2024-01-03,STORE_05,ITEM_DAIRY_02,Dairy,23,0,39.88,20.32,7,0.49,28.39,68.45
2024-01-03,STORE_05,ITEM_MEAT_01,Meat,25,0,191.74,123.78,5,4.66,122.89,116.25
2024-01-03,STORE_05,ITEM_MEAT_02,Meat,14,0,125.34,64.48,5,1.38,65.89,108.68
2024-01-03,STORE_05,ITEM_PRODUCE_01,Produce,17,0,31.88,16.27,4,0.61,21.74,66.81
2024-01-03,STORE_05,ITEM_PRODUCE_02,Produce,26,0,22.28,13.96,4,0.51,19.52,57.08
2024-01-03,STORE_06,ITEM_BAKERY_01,Bakery,10,0,48.45,33.86,3,0.92,39.37,65.77
2024-01-03,STORE_06,ITEM_BAKERY_02,Bakery,25,0,24.08,15.18,3,0.33,19.85,57.94
2024-01-03,STORE_06,ITEM_DAIRY_01,Dairy,44,0,59.89,36.19,7,1.65,41.62,76.41
2024-01-03,STORE_06,ITEM_DAIRY_02,Dairy,21,0,39.36,20.95,7,0.54,28.75,69.33
2024-01-03,STORE_06,ITEM_MEAT_01,Meat,38,0,190.93,124.13,5,4.87,127.64,113.24
2024-01-03,STORE_06,ITEM_MEAT_02,Meat,22,0,122.44,65.82,5,1.38,68.9,111.61
2024-01-03,STORE_06,ITEM_PRODUCE_01,Produce,23,0,32.48,16.02,4,0.61,22.28,65.01
2024-01-03,STORE_06,ITEM_PRODUCE_02,Produce,18,0,22.57,14.02,4,0.51,19.58,58.67
2024-01-03,STORE_07,ITEM_BAKERY_01,Bakery,12,0,49.78,33.5,3,0.88,39.56,65.33
2024-01-03,STORE_07,ITEM_BAKERY_02,Bakery,22,0,25.87,15.54,3,0.32,19.54,61.33
2024-01-03,STORE_07,ITEM_DAIRY_01,Dairy,26,0,61.71,36.43,7,1.61,41.42,75.08
2024-01-03,STORE_07,ITEM_DAIRY_02,Dairy,34,0,36.08,20.72,7,0.49,27.97,69.89
2024-01-03,STORE_07,ITEM_MEAT_01,Meat,23,0,191.52,122.07,5,4.64,126.48,116.31
2024-01-03,STORE_07,ITEM_MEAT_02,Meat,17,0,127.05,63.61,5,1.38,69.08,111.96
2024-01-03,STORE_07,ITEM_PRODUCE_01,Produce,38,0,32.45,16.24,4,0.6,21.89,67.61
2024-01-03,STORE_07,ITEM_PRODUCE_02,Produce,26,0,23.03,13.98,4,0.51,19.69,58.17
2024-01-03,STORE_08,ITEM_BAKERY_01,Bakery,12,0,49.27,33.29,3,0.93,39.76,67.26
2024-01-03,STORE_08,ITEM_BAKERY_02,Bakery,15,0,25.61,14.94,3,0.32,19.83,58.03
2024-01-03,STORE_08,ITEM_DAIRY_01,Dairy,31,0,60.4,36.29,7,1.62,42.29,79.07
2024-01-03,STORE_08,ITEM_DAIRY_02,Dairy,19,0,38.22,20.39,7,0.51,29.45,68.37
2024-01-03,STORE_08,ITEM_MEAT_01,Meat,27,0,198.92,123.53,5,4.87,127.94,120.14
2024-01-03,STORE_08,ITEM_MEAT_02,Meat,3,0,126.68,65.2,5,1.36,69.93,105.27
2024-01-03,STORE_08,ITEM_PRODUCE_01,Produce,20,0,31.98,16.35,4,0.6,22.93,66.77
2024-01-03,STORE_08,ITEM_PRODUCE_02,Produce,25,0,23.13,14.03,4,0.5,19.61,57.76
2024-01-04,STORE_01,ITEM_BAKERY_01,Bakery,19,0,50.0,33.2,3,0.93,40.16,66.96
2024-01-04,STORE_01,ITEM_BAKERY_02,Bakery,30,1,24.76,15.28,3,0.31,19.72,60.71
2024-01-04,STORE_01,ITEM_DAIRY_01,Dairy,56,0,63.3,35.92,7,1.66,42.44,75.69
2024-01-04,STORE_01,ITEM_DAIRY_02,Dairy,17,0,37.63,20.74,7,0.5,27.9,69.54
2024-01-04,STORE_01,ITEM_MEAT_01,Meat,8,0,198.56,124.96,5,4.73,123.63,115.35
2024-01-04,STORE_01,ITEM_MEAT_02,Meat,7,0,131.48,64.9,5,1.39,69.27,106.44
2024-01-04,STORE_01,ITEM_PRODUCE_01,Produce,19,0,35.33,16.1,4,0.57,21.86,66.19
2024-01-04,STORE_01,ITEM_PRODUCE_02,Produce,30,1,22.51,13.89,4,0.51,19.3,59.77
2024-01-04,STORE_02,ITEM_BAKERY_01,Bakery,20,0,51.67,34.32,3,0.91,39.52,63.53
2024-01-04,STORE_02,ITEM_BAKERY_02,Bakery,16,1,25.24,15.39,3,0.33,20.18,59.72
2024-01-04,STORE_02,ITEM_DAIRY_01,Dairy,47,0,61.4,35.66,7,1.64,42.51,76.75
2024-01-04,STORE_02,ITEM_DAIRY_02,Dairy,26,0,40.4,20.67,7,0.51,28.32,71.73
2024-01-04,STORE_02,ITEM_MEAT_01,Meat,22,0,190.67,124.46,5,4.93,126.69,118.45
2024-01-04,STORE_02,ITEM_MEAT_02,Meat,3,0,126.62,64.39,5,1.39,69.02,110.15
2024-01-04,STORE_02,ITEM_PRODUCE_01,Produce,24,0,32.63,16.08,4,0.62,22.22,65.46
2024-01-04,STORE_02,ITEM_PRODUCE_02,Produce,29,1,22.92,13.93,4,0.52,20.83,57.82
2024-01-04,STORE_03,ITEM_BAKERY_01,Bakery,12,0,49.91,33.62,3,0.92,39.52,66.91
2024-01-04,STORE_03,ITEM_BAKERY_02,Bakery,27,1,26.07,15.2,3,0.32,20.04,61.1
2024-01-04,STORE_03,ITEM_DAIRY_01,Dairy,39,0,66.14,35.78,7,1.7,42.79,73.89
2024-01-04,STORE_03,ITEM_DAIRY_02,Dairy,26,0,39.7,20.6,7,0.5,26.73,70.78
2024-01-04,STORE_03,ITEM_MEAT_01,Meat,18,0,199.85,123.86,5,4.78,129.36,116.99
2024-01-04,STORE_03,ITEM_MEAT_02,Meat,15,0,131.85,64.79,5,1.36,67.11,107.95
2024-01-04,STORE_03,ITEM_PRODUCE_01,Produce,29,0,32.34,16.38,4,0.61,22.63,66.1
2024-01-04,STORE_03,ITEM_PRODUCE_02,Produce,14,1,23.45,13.95,4,0.5,19.45,56.52
2024-01-04,STORE_04,ITEM_BAKERY_01,Bakery,23,0,48.2,33.22,3,0.86,39.58,62.69
2024-01-04,STORE_04,ITEM_BAKERY_02,Bakery,23,1,24.38,15.17,3,0.32,20.35,60.69
2024-01-04,STORE_04,ITEM_DAIRY_01,Dairy,55,0,59.45,36.05,7,1.61,42.55,75.51
2024-01-04,STORE_04,ITEM_DAIRY_02,Dairy,26,0,39.32,20.81,7,0.52,28.93,67.48
2024-01-04,STORE_04,ITEM_MEAT_01,Meat,19,0,191.91,125.9,5,4.78,122.86,116.56
2024-01-04,STORE_04,ITEM_MEAT_02,Meat,28,0,121.95,63.95,5,1.38,67.22,112.11
